,buy_and_hold,periodic_rebalance
2015-02-25,1.0467102311576117,1.023623065763319
2015-02-26,1.05597613552019,1.0318294307365319
2015-02-27,1.0551785398482103,1.0303309679667392
2015-03-02,1.0587678061297288,1.0331645178662106
2015-03-03,1.0519366955586298,1.028227996238325
2015-03-04,1.0525059636349299,1.0277382028931328
2015-03-05,1.0468079065263385,1.0227262381412354
2015-03-06,1.0437697709423097,1.0192878876434177
2015-03-09,1.0403636438086685,1.01241640402244
2015-03-10,1.035721408482694,1.007785814729562
2015-03-11,1.031546608267919,1.0023746621873393
2015-03-12,1.0368793189632635,1.0060524212085709
2015-03-13,1.0389415515263132,1.0077466876183496
2015-03-16,1.0476334480889744,1.0146391364520309
2015-03-17,1.0536010953469024,1.0197226622242215
2015-03-18,1.0605854064163223,1.024109594720392
2015-03-19,1.0642145138786658,1.0290439889315368
2015-03-20,1.0668430989905102,1.0294571428284651
2015-03-23,1.07606334449854,1.0366337096657636
2015-03-24,1.0759579919661661,1.0366035983639053
2015-03-25,1.0726846110329924,1.0329697977986745
2015-03-26,1.0759945936576794,1.039695037303569
2015-03-27,1.0786751947671394,1.0417035067131493
2015-03-30,1.0829757906347401,1.0411572989795481
2015-03-31,1.0773151491623196,1.036491905375505
2015-04-01,1.0801325408316376,1.037056211312641
2015-04-02,1.0826997184949048,1.0409269086059787
2015-04-03,1.0881021904102202,1.043944431767884
2015-04-07,1.0989098756274835,1.0547003620905462
2015-04-08,1.1018485601642607,1.0574190368572822
2015-04-09,1.096777495372924,1.0517768149594464
2015-04-10,1.107043522925468,1.058890946435764
2015-04-13,1.1148515010472964,1.0650095103940052
2015-04-14,1.1124036635436787,1.0618809882002356
2015-04-15,1.1115823962895306,1.0638431228197947
2015-04-16,1.1325720029247368,1.0837272354278835
2015-04-17,1.1410006735549338,1.0906284583840982
2015-04-20,1.1325015323058627,1.0865850986136307
2015-04-21,1.1407760465706482,1.0910510271524898
2015-04-22,1.150966801552332,1.0952677043323729
2015-04-23,1.1497865826736189,1.094238262509647
2015-04-24,1.1538337170760893,1.0998691296043364
2015-04-27,1.1628221894121864,1.1050249183989036
2015-04-28,1.155463504565042,1.098128033712824
2015-04-29,1.1592282465465784,1.1015133497578875
2015-04-30,1.158829451990217,1.1028284901749306
2015-05-04,1.1577248528195074,1.0999559152127014
2015-05-05,1.1401503060194844,1.0879539986097264
2015-05-06,1.133263802943309,1.0835290906899833
2015-05-07,1.1204718280050432,1.070389047045635
2015-05-08,1.1284932155650926,1.0746702868007603
2015-05-11,1.1448616150098605,1.0867138694721166
2015-05-12,1.148210767393111,1.0876835602515937
2015-05-13,1.1447167000751346,1.0860855533743738
2015-05-14,1.1473519519875088,1.0891603173381563
2015-05-15,1.140807525112286,1.0852367127327374
2015-05-18,1.1388490935386568,1.0844989506064056
2015-05-19,1.1497253167702204,1.0885934491288554
2015-05-20,1.1456465300639669,1.0817820442860655
2015-05-21,1.1547229944099038,1.08716128470459
2015-05-22,1.167142892423381,1.0970111906256184
2015-05-25,1.1813984637365063,1.105630240536253
2015-05-26,1.1863617377123672,1.107584918184768
2015-05-27,1.182240602722479,1.1027326173849992
2015-05-28,1.1544881034188446,1.0865202829397997
2015-05-29,1.1508413176054462,1.0819456323186452
2015-06-01,1.1714251395166955,1.0937750844072767
2015-06-02,1.1779230461345787,1.096108959331593
2015-06-03,1.1737596195429962,1.0939020079877102
2015-06-04,1.17828424931273,1.0951731017922173
2015-06-05,1.180708237173359,1.0980509499040088
2015-06-08,1.1909341735205234,1.10346426431904
2015-06-09,1.185404080296408,1.0998037333351107
2015-06-10,1.1858197097024519,1.1008586054650376
2015-06-11,1.1873995057321098,1.1024680297621097
2015-06-12,1.1902700664809611,1.1034329120527318
2015-06-15,1.1762887999126033,1.093080876795494
2015-06-16,1.162766359417588,1.0842468459328773
2015-06-17,1.1681110031791546,1.0869807623731806
2015-06-18,1.1485332491927207,1.0737309091971805
2015-06-19,1.1254819164068621,1.061817427334809
2015-06-23,1.1427407034059143,1.0725888706585203
2015-06-24,1.1545854804431779,1.0825013238658976
2015-06-25,1.1365570054844332,1.0709972503524463
2015-06-26,1.1036771241910575,1.0502189558329613
2015-06-29,1.0867011034407894,1.0386397822987254
2015-06-30,1.1069875765041932,1.0453694746638806
2015-07-01,1.0827251549482226,1.03140407133293
2015-07-02,1.0705283781926902,1.018828055823725
2015-07-03,1.0516069278767928,1.0058785972298068
2015-07-06,1.056296656889508,1.0047221502180332
2015-07-07,1.0396957854784248,0.9922389892142712
2015-07-08,0.9971043880947712,0.9646032833674223
2015-07-09,1.0351526469282826,0.9928847616361893
2015-07-10,1.068064680288634,1.013570644925886
2015-07-13,1.0732893054842552,1.0154557185833553
2015-07-14,1.0727782328617448,1.0176864868066988
2015-07-15,1.061433473798252,1.016455458037859
2015-07-16,1.0641574315860653,1.0141348792426106
2015-07-17,1.0853261938166108,1.0290056408085126
2015-07-20,1.083709607837931,1.0260285194960008
2015-07-21,1.0847664677833317,1.0235745567658674
2015-07-22,1.0778419465328894,1.0167708295828837
2015-07-23,1.087959725051852,1.0220217466919954
2015-07-24,1.0743044545519895,1.010204036360321
2015-07-27,1.0333268841383563,0.9807848165782507
2015-07-28,1.0310701884752729,0.9730725463238066
2015-07-29,1.051415357814965,0.9907491238330075
2015-07-30,1.042926417597111,0.9889302227411372
2015-07-31,1.0418809507897149,0.9869601718591919
2015-08-03,1.0426840432879114,0.9859950102106286
2015-08-04,1.051517135552417,0.989766711242551
2015-08-05,1.0434853419472463,0.985540838080732
2015-08-06,1.0408394482340408,0.9813601717210467
2015-08-07,1.046830409122383,0.9875199923179905
2015-08-10,1.0630940994469706,0.9979578502447581
2015-08-11,1.0781671702169715,1.0173271596436213
2015-08-12,1.0765573519953728,1.020774624920218
2015-08-13,1.0848933415090334,1.0295678958022572
2015-08-14,1.0825202983081168,1.0255405773886652
2015-08-17,1.083363118874143,1.0261079363047891
2015-08-18,1.0611842703220682,1.0119654983211686
2015-08-19,1.0672021106767569,1.0165292818993183
2015-08-20,1.0563890427637581,1.0079432975200566
2015-08-21,1.0332265205978104,0.9897922142777953
2015-08-24,0.9787367208640535,0.9432360822900625
2015-08-25,0.9516235532498905,0.9216327492388869
2015-08-26,0.9593114571542485,0.9271668328578946
2015-08-27,0.985009180733626,0.945899579514393
2015-08-28,1.0082887598689363,0.9690905723132555
2015-08-31,1.0070866584885414,0.9688199160774669
2015-09-01,1.003891359059303,0.9697705848053142
2015-09-02,0.9993045932020155,0.9613728553714084
2015-09-07,0.9878930715266383,0.9522608722492946
2015-09-08,0.9999194298001118,0.9605785460789165
2015-09-09,1.0094490990571787,0.9699021945600304
2015-09-10,0.9953526411674493,0.9559607739791558
2015-09-11,1.000068256377476,0.9608608823163459
2015-09-14,0.9885652717647653,0.9513641962375634
2015-09-15,0.9747597358728527,0.9388143227560715
2015-09-16,0.9961617474270619,0.9562229136628443
2015-09-17,0.9953280755769962,0.9597238452956558
2015-09-18,0.9962286415238746,0.960516674077601
2015-09-21,1.0001686587051326,0.962665141586123
2015-09-22,1.0023714108649837,0.9641190333418346
2015-09-23,0.9909048738962881,0.9542076580009323
2015-09-24,0.9933991427913677,0.9546135453650353
2015-09-25,0.9888819743772604,0.9518748496821812
2015-09-28,0.9861620793118488,0.9480582015346087
2015-09-29,0.9688311105170081,0.9293612211917138
2015-09-30,0.9716848666105364,0.9318837247394512
2015-10-08,0.9998989814406456,0.9663442833546094
2015-10-09,1.010355155344654,0.9841278799952022
2015-10-12,1.0259779766167294,0.9943268079001328
2015-10-13,1.0188687286107898,0.9839328740314092
2015-10-14,1.01676739630394,0.9816758947356309
2015-10-15,1.0269061493381144,0.9902813301337099
2015-10-16,1.0355638199524577,0.999705552838248
2015-10-19,1.034996374467044,0.9992522091138796
2015-10-20,1.0392840922987236,0.999625872578162
2015-10-21,1.0286505649015378,0.9913183712230871
2015-10-22,1.0303864698854945,0.9913774044961972
2015-10-23,1.0448432071321168,1.0037074054120865
2015-10-26,1.0469894884440887,1.005038454832762
2015-10-27,1.0454103953068927,1.0016173519402805
2015-10-28,1.0409812414553943,0.9961483482147646
2015-10-29,1.0411350792200404,0.9971911122087199
2015-10-30,1.0399962357231283,0.9955437183399413
2015-11-02,1.0319656906408818,0.9902072528070331
2015-11-03,1.0340143021787689,0.9945225571333672
2015-11-04,1.05275512452151,1.010458077295021
2015-11-05,1.0553582599591222,1.010517758664556
2015-11-06,1.0627067178420526,1.0163688944525897
2015-11-09,1.0628041523684626,1.0148351715453143
2015-11-10,1.0598166001442881,1.0132395030656052
2015-11-11,1.0595310423164777,1.01334656979034
2015-11-12,1.0535054884503245,1.0054362239272185
2015-11-13,1.0449640044045354,0.9961191546056276
2015-11-16,1.0453433488844714,0.9971938774416188
2015-11-17,1.0487578569153797,1.0014055254869785
2015-11-18,1.0422819324556762,0.9940919406158467
2015-11-19,1.05540817480013,1.0070245336674783
2015-11-20,1.0542585155007456,1.0052247101381946
2015-11-23,1.050286331151,0.9996388370684693
2015-11-24,1.0513511467393075,1.001156823842161
2015-11-25,1.0553599985189899,1.006980045804627
2015-11-26,1.0531056456765004,1.0043804692494034
2015-11-27,1.0342690858583388,0.9902370979172593
2015-11-30,1.03172392184888,0.9864086847299938
2015-12-01,1.0366938512319246,0.991539997887009
