,trade_cost
2018-02-27,5.207781852351133e-06
2018-02-28,1.1885211939446777e-06
2018-03-01,2.0167277251086254e-06
2018-03-02,1.7909977624993784e-05
2018-03-05,3.0110122941208394e-06
2018-03-06,2.556252439294606e-06
2018-03-07,3.2998340976418647e-06
2018-03-08,2.731898985381127e-06
2018-03-09,1.34587518661625e-06
2018-03-12,0.00014462352569547855
2018-03-13,0.0001417207907682711
2018-03-14,1.622561987652829e-06
2018-03-15,2.2114463260238006e-06
2018-03-16,0.00014329276088422238
2018-03-19,3.4349440381027284e-06
2018-03-20,1.811913320762998e-06
2018-03-21,4.648819168458867e-06
2018-03-22,7.827676330109876e-07
2018-03-23,1.4668266216749892e-05
2018-03-26,6.048004722796912e-06
2018-03-27,7.550379331412526e-05
2018-03-28,1.2813305366262496e-05
2018-03-29,1.0383419082881273e-05
2018-03-30,1.4968054537433415e-05
2018-04-02,7.955999724743802e-06
2018-04-03,2.195082316211877e-07
2018-04-04,9.078991440950086e-06
2018-04-09,4.5421805960224604e-07
2018-04-10,3.6756611262492403e-06
2018-04-11,8.462463042988883e-06
2018-04-12,5.7359113999071875e-06
2018-04-13,4.488901453888881e-06
2018-04-16,5.7190765069390115e-06
2018-04-17,1.9489111896326727e-05
2018-04-18,4.976737712812159e-06
2018-04-19,4.893964339811608e-05
2018-04-20,1.573038232540616e-05
2018-04-23,3.915485354694145e-06
2018-04-24,6.040860720178384e-06
2018-04-25,8.69859521030366e-06
2018-04-26,1.1088688144253133e-05
2018-04-27,5.573976114967256e-06
2018-05-02,7.87107799608271e-06
2018-05-03,3.024279498064813e-06
2018-05-04,2.71566582396195e-06
2018-05-07,7.823877628067199e-06
2018-05-08,8.27195753036428e-06
2018-05-09,5.2341718295433115e-06
2018-05-10,1.344628508349422e-05
2018-05-11,2.030207345682506e-06
2018-05-14,5.29058517406325e-07
2018-05-15,2.8579820150493076e-06
2018-05-16,9.78410367232686e-06
2018-05-17,2.6783908503075996e-05
2018-05-18,3.10854378498511e-06
2018-05-21,6.1972287230473956e-06
2018-05-22,1.0207881734778344e-06
2018-05-23,4.789551177301628e-06
2018-05-24,9.546794920766495e-06
2018-05-25,1.1987504589857579e-05
2018-05-28,7.94709429256317e-06
2018-05-29,1.576906560328191e-05
2018-05-30,6.059860332163651e-06
2018-05-31,7.069025876630671e-06
2018-06-01,1.1368855446992101e-05
2018-06-04,3.9110636639047385e-05
2018-06-05,4.7833662599963627e-05
2018-06-06,0.0006965574785236373
2018-06-07,0.0006536633159305475
2018-06-08,5.428756661470316e-07
2018-06-11,8.008976686114004e-06
2018-06-12,3.442055498939521e-06
2018-06-13,1.542172835504953e-05
2018-06-14,2.1689199943335616e-06
2018-06-15,0.0006497712578044057
2018-06-19,2.4345124834914826e-06
2018-06-20,1.10934890451099e-05
2018-06-21,5.006483388586221e-06
2018-06-22,4.3334638780407505e-06
2018-06-25,7.59652100659082e-06
2018-06-26,4.784098188941166e-06
2018-06-27,5.286984167142461e-06
2018-06-28,4.9798417877152425e-06
2018-06-29,4.8718128050538655e-05
2018-07-02,9.109598343363254e-05
2018-07-03,5.676201367305605e-06
2018-07-04,9.10426900420088e-06
2018-07-05,4.141087138742047e-06
2018-07-06,5.11237308128916e-07
2018-07-09,3.5271216131290315e-06
2018-07-10,1.7094706497630007e-05
2018-07-11,5.587306198175414e-06
2018-07-12,7.874393577941782e-06
2018-07-13,9.215784651018675e-06
2018-07-16,2.4001314863074837e-06
2018-07-17,7.104309052164369e-06
2018-07-18,3.3846590698528995e-06
2018-07-19,4.619425321879374e-05
2018-07-20,8.167316503895077e-06
2018-07-23,4.185331388467908e-06
2018-07-24,9.179411200902883e-06
2018-07-25,8.079875323413039e-05
2018-07-26,4.7427961629406545e-07
2018-07-27,6.901625962864463e-06
2018-07-30,0.000585691595423327
2018-07-31,0.0005764113280704245
2018-08-01,8.3029368857226e-06
2018-08-02,1.9590020736022326e-05
2018-08-03,7.808184414610304e-06
2018-08-06,8.41216979381202e-06
2018-08-07,5.1156584322523785e-06
2018-08-08,8.705371540190948e-06
2018-08-09,7.2379804978895225e-06
2018-08-10,1.0372771304074058e-05
2018-08-13,7.99338782180747e-06
2018-08-14,3.4607601062277285e-06
2018-08-15,3.8295841064971316e-05
2018-08-16,3.435654310501841e-05
2018-08-17,5.940948135259694e-05
2018-08-20,9.893891730643405e-05
2018-08-21,1.8597791617059323e-05
2018-08-22,1.053125892737055e-05
2018-08-23,2.1978266915092386e-06
2018-08-24,3.1543011551664336e-06
2018-08-27,4.7024984239241665e-06
2018-08-28,1.3409978192787948e-05
2018-08-29,2.3824711633659845e-06
2018-08-30,4.347322029897404e-06
2018-08-31,6.4914944076542095e-06
2018-09-03,3.943676309887296e-06
2018-09-04,3.2890462535067613e-06
2018-09-05,2.442860321875767e-06
2018-09-06,6.725673127727122e-06
2018-09-07,9.3623622588929e-06
2018-09-10,6.26338249005462e-06
2018-09-11,5.350083045329239e-06
2018-09-12,7.654512752542607e-06
2018-09-13,9.309671479574878e-06
2018-09-14,8.917473293197614e-06
2018-09-17,2.8770155519198053e-06
2018-09-18,1.200300784938705e-05
2018-09-19,9.0297398877408e-06
2018-09-20,4.845040362711887e-06
2018-09-21,2.1737912735414233e-06
2018-09-25,8.537647625660107e-06
2018-09-26,9.707068983883495e-06
2018-09-27,2.7703416992454178e-06
2018-09-28,8.550416978993402e-06
2018-10-08,1.5442411935579464e-05
2018-10-09,4.842715287096378e-05
2018-10-10,5.03715778094091e-07
2018-10-11,5.8222479882425165e-05
2018-10-12,6.101344650627068e-05
2018-10-15,3.596292791294592e-05
2018-10-16,1.0013917946639926e-05
2018-10-17,3.308981070547085e-07
2018-10-18,8.507238590608018e-06
2018-10-19,5.906619778085001e-06
2018-10-22,4.2872807788606955e-06
2018-10-23,1.1783851469584175e-05
2018-10-24,5.897471706420653e-06
2018-10-25,1.7459513995963344e-06
2018-10-26,1.0749966791870129e-05
2018-10-29,1.4781556280945054e-06
2018-10-30,3.4629943388278795e-06
2018-10-31,2.919343836582499e-06
2018-11-01,1.857013874593826e-05
2018-11-02,1.1197327930465746e-06
2018-11-05,1.3917526241647456e-05
2018-11-06,4.619826378987658e-06
2018-11-07,4.562424172898285e-06
2018-11-08,5.251076227706136e-06
2018-11-09,5.447346518590773e-06
2018-11-12,1.6794167473119064e-06
2018-11-13,7.639858014689687e-06
2018-11-14,4.3698509582479685e-06
2018-11-15,7.736614195806068e-06
2018-11-16,2.2783654353765602e-05
2018-11-19,5.652237426003459e-07
2018-11-20,1.562682433268344e-06
2018-11-21,1.684853980776357e-05
2018-11-22,2.673302105602408e-06
2018-11-23,2.6425978552748057e-06
2018-11-26,7.194547094387339e-05
2018-11-27,2.413603673733885e-06
2018-11-28,3.093479255201207e-06
2018-11-29,9.64906501576348e-06
2018-11-30,2.3231267448283607e-05
2018-12-03,4.263505888089457e-06
2018-12-04,1.3461438170413412e-05
2018-12-05,1.99017333401916e-05
2018-12-06,8.953941616041528e-06
2018-12-07,3.4192343755750643e-06
2018-12-10,2.1903935598229436e-06
2018-12-11,3.414733964538137e-05
2018-12-12,5.12979748691442e-06
2018-12-13,8.954180978183627e-06
2018-12-14,1.1714923015137893e-05
2018-12-17,6.313770174247852e-06
2018-12-18,3.028714318061256e-06
2018-12-19,6.196425969736092e-05
2018-12-20,2.0432968713585793e-06
2018-12-21,1.2519204213950485e-05
2018-12-24,5.1009767354976005e-06
2018-12-25,4.519494039036828e-06
2018-12-26,1.5811651521654245e-05
2018-12-27,8.886854470197061e-07
2018-12-28,2.2750787051727963e-05
2019-01-02,5.8491029375408064e-05
2019-01-03,2.2158750020600738e-05
2019-01-04,7.751759487249033e-05
2019-01-07,1.9219593795978537e-05
2019-01-08,5.740378070360917e-05
2019-01-09,7.835570117833382e-06
2019-01-10,5.996813865581086e-06
2019-01-11,2.664105603276783e-07
2019-01-14,9.830707979485432e-06
2019-01-15,3.190589000569202e-06
2019-01-16,6.7975654313229555e-06
2019-01-17,9.593617200053667e-07
2019-01-18,1.3561270209064836e-06
2019-01-21,0.00020814323037813464
2019-01-22,3.2288888020323113e-06
2019-01-23,3.493730581930577e-06
2019-01-24,1.730636217592025e-06
2019-01-25,5.2522746663227526e-05
2019-01-28,1.2815673174027265e-06
2019-01-29,2.3954186016311127e-05
2019-01-30,1.8314596947139294e-06
2019-01-31,1.2047479621005337e-06
2019-02-01,5.088910460586932e-06
2019-02-11,6.345208687903885e-06
2019-02-12,1.0215152555474227e-05
2019-02-13,2.2006403596193244e-06
2019-02-14,5.537299117196218e-05
2019-02-15,5.782557786777828e-06
2019-02-18,9.95359157127269e-06
2019-02-19,5.970783252558086e-06
2019-02-20,2.605803962641342e-06
2019-02-21,8.695592056210836e-06
2019-02-22,1.2562754979536187e-05
2019-02-25,1.2930051928926857e-05
2019-02-26,3.080373428011476e-05
2019-02-27,3.040295285044184e-05
2019-02-28,3.904463007113676e-05
2019-03-01,9.920857528440536e-06
2019-03-04,2.8315917265944214e-06
2019-03-05,0.00019293533014802134
2019-03-06,2.5829712920691985e-06
2019-03-07,8.628476395102958e-05
2019-03-08,0.00023420793500620406
2019-03-11,1.3033069826278481e-05
2019-03-12,5.90578228277034e-07
2019-03-13,7.657850619126247e-06
2019-03-14,3.7332685175861387e-06
2019-03-15,1.1059012080035514e-06
2019-03-18,5.529417373843701e-07
2019-03-19,2.807965026392915e-06
2019-03-20,6.026389938032509e-06
2019-03-21,4.805499267959562e-07
2019-03-22,9.166859899410817e-06
2019-03-25,7.274960095084028e-06
2019-03-26,1.6034346417118037e-05
2019-03-27,8.658468532312964e-06
2019-03-28,4.216959195894533e-06
2019-03-29,2.3149187064090554e-06
2019-04-01,4.51329002552068e-05
2019-04-02,5.469843390320764e-06
2019-04-03,2.9121296469785883e-07
2019-04-04,3.0502694646920382e-05
2019-04-08,0.00013242827734931956
2019-04-09,0.00015351983922632365
2019-04-10,2.82877225513619e-07
2019-04-11,3.4267727624306065e-05
2019-04-12,4.6932946508598804e-05
2019-04-15,1.3139710487231518e-05
2019-04-16,2.9827699078531606e-06
2019-04-17,4.681177841141543e-06
2019-04-18,2.273035096163854e-06
2019-04-19,5.405581425566724e-06
2019-04-22,2.7175555524098434e-06
2019-04-23,7.172804292538363e-06
2019-04-24,5.578937811886356e-06
2019-04-25,7.500315790219131e-06
2019-04-26,3.48964619062999e-06
2019-04-29,3.175793326076315e-06
2019-04-30,6.226858655902397e-06
2019-05-06,1.6763298596177713e-05
2019-05-07,4.95031678258345e-05
2019-05-08,1.2970510136649277e-05
2019-05-09,1.291388983453999e-05
2019-05-10,4.680361291873084e-05
2019-05-13,4.572886339055768e-06
2019-05-14,6.074286159400533e-06
2019-05-15,1.993559368856428e-05
2019-05-16,8.303138020509772e-06
2019-05-17,2.71127288604827e-06
2019-05-20,4.1339020813768e-06
2019-05-21,8.244562604399499e-06
2019-05-22,0.00015171603164166835
2019-05-23,4.80099890272083e-07
2019-05-24,0.00015425355268463867
2019-05-27,4.352330750892891e-06
2019-05-28,0.00017115626251709584
2019-05-29,7.4899729925504974e-06
2019-05-30,3.862355199943827e-06
2019-05-31,4.5732874045831715e-06
2019-06-03,1.5532426210039273e-05
2019-06-04,1.7454071736356214e-05
2019-06-05,0.0001833015356206833
2019-06-06,1.5234250112795226e-05
2019-06-10,2.5215915015676104e-06
2019-06-11,1.1247751045053249e-05
2019-06-12,1.264630873635337e-05
2019-06-13,9.436408747975345e-06
2019-06-14,5.837118482930095e-07
2019-06-17,9.80968061797322e-06
2019-06-18,1.4508197511526503e-05
2019-06-19,1.3715648088513979e-06
2019-06-20,7.285690003403102e-06
2019-06-21,1.9244918221876833e-05
2019-06-24,2.3647953341658368e-06
2019-06-25,2.2541745948328023e-06
2019-06-26,1.0254515692690421e-05
2019-06-27,1.1841864364439362e-05
2019-06-28,8.480782387707448e-07
2019-07-01,3.6694462168950643e-07
2019-07-02,2.329903914865254e-05
2019-07-03,5.57667384789343e-06
2019-07-04,4.684953416653688e-05
2019-07-05,1.1233198367495433e-05
2019-07-08,1.004384906697773e-06
2019-07-09,7.916590147204454e-06
2019-07-10,2.5252992996580466e-06
2019-07-11,2.80499513488848e-06
2019-07-12,5.80976521141029e-06
2019-07-15,1.544474067789299e-06
2019-07-16,7.249515627467222e-07
2019-07-17,1.8748866794065338e-06
2019-07-18,2.1715878233976723e-06
2019-07-19,4.686815454800455e-06
2019-07-22,6.204549417992736e-05
2019-07-23,4.541638522271869e-06
2019-07-24,2.715831178039991e-06
2019-07-25,9.764463179006943e-07
2019-07-26,5.675406312181169e-05
2019-07-29,5.79261070091545e-05
2019-07-30,5.87913868236669e-07
2019-07-31,2.2128179115973868e-07
2019-08-01,7.607808085194734e-06
2019-08-02,9.24754067114917e-06
2019-08-05,9.198080382777624e-06
2019-08-06,4.324003594076723e-05
2019-08-07,5.720558151824505e-06
2019-08-08,5.7033103886753395e-05
2019-08-09,9.66911754450632e-06
2019-08-12,1.3255512848333178e-05
2019-08-13,5.236864179029049e-06
2019-08-14,1.0546043213528769e-05
2019-08-15,1.1084994846366734e-05
2019-08-16,1.2236354901888284e-05
2019-08-19,4.790771860234001e-06
2019-08-20,8.355007217190492e-06
2019-08-21,1.889031587858206e-06
2019-08-22,4.2478816030987883e-07
2019-08-23,6.103347948692092e-07
2019-08-26,1.42100860896614e-05
2019-08-27,1.4839781795279735e-05
2019-08-28,3.990688725071967e-06
2019-08-29,4.798235104446491e-07
2019-08-30,1.4161567538164138e-06
2019-09-02,8.527032273845885e-06
2019-09-03,2.546151565517768e-06
2019-09-04,3.8652258000463796e-06
2019-09-05,3.6595576462647854e-06
2019-09-06,2.186774746402324e-06
2019-09-09,3.530915609562654e-05
2019-09-10,4.9790262700299755e-06
2019-09-11,1.4869503316260851e-05
2019-09-12,3.2467298266627353e-06
2019-09-16,2.3451754392072693e-06
2019-09-17,1.2436700516369813e-05
2019-09-18,1.4544214924064692e-05
2019-09-19,9.502255726847282e-05
2019-09-20,8.702752842614322e-05
2019-09-23,8.711657344129612e-07
2019-09-24,3.1109801967976434e-06
2019-09-25,9.59461487729022e-07
2019-09-26,9.13392334752275e-06
2019-09-27,5.000540968729761e-06
2019-09-30,3.2496973930200325e-06
2019-10-08,1.9815873159602814e-05
2019-10-09,3.845627284728467e-06
2019-10-10,7.0158193870444726e-06
2019-10-11,2.3131376526027424e-06
2019-10-14,6.265030716408163e-06
2019-10-15,4.489054628296744e-06
2019-10-16,1.2993488827397828e-06
2019-10-17,2.398167634403873e-06
2019-10-18,9.416633960845112e-07
2019-10-21,7.1606323449987485e-06
2019-10-22,2.729944116848244e-05
2019-10-23,3.629441672633224e-06
2019-10-24,5.743790593204581e-06
2019-10-25,1.0245975290760976e-06
2019-10-28,3.466926639017591e-06
2019-10-29,1.3556511850914808e-05
2019-10-30,3.0541081112248627e-06
2019-10-31,4.033724028428328e-06
2019-11-01,1.6709437921716212e-06
2019-11-04,1.5142562614556841e-05
2019-11-05,1.6667824037568842e-06
2019-11-06,6.270577584797637e-06
2019-11-07,7.64894596318081e-06
2019-11-08,2.5664396757571413e-06
2019-11-11,8.362977617245151e-06
2019-11-12,1.1144004027687686e-05
2019-11-13,1.8641076493805045e-06
2019-11-14,4.590089938642458e-06
2019-11-15,2.4658602065550927e-06
2019-11-18,4.392589632256787e-06
2019-11-19,4.86907933209414e-05
2019-11-20,5.906934864553577e-06
2019-11-21,4.546311057686988e-06
2019-11-22,2.813818920035835e-06
2019-11-25,3.4616269910885677e-06
2019-11-26,4.15067599657885e-06
2019-11-27,1.444580161807972e-05
2019-11-28,1.96267893477416e-06
2019-11-29,7.398038265298523e-07
2019-12-02,1.2361275424771983e-05
2019-12-03,8.01977692766856e-06
2019-12-04,1.1150278225213611e-05
2019-12-05,2.248670830361952e-05
2019-12-06,5.714974211875938e-06
2019-12-09,2.6633209859098783e-06
2019-12-10,1.7785264592772202e-05
2019-12-11,3.290154424731854e-06
2019-12-12,2.742301625034034e-07
2019-12-13,3.3288030164107772e-06
2019-12-16,2.773357991501971e-05
2019-12-17,4.879034141950206e-06
2019-12-18,7.657043002038733e-06
2019-12-19,7.437804633576843e-06
2019-12-20,1.8953452522115326e-06
2019-12-23,8.278370065332622e-06
2019-12-24,8.677380970733513e-06
2019-12-25,4.698250528070055e-05
2019-12-26,2.9363117743744816e-06
2019-12-27,4.375872665888625e-06
2019-12-30,1.4551092227615422e-05
