,nav
2020-12-21,1.1224021882544941
2020-12-22,1.1180104262413273
2020-12-23,1.118317139727858
2020-12-24,1.1160250511193435
2020-12-25,1.1173821298518363
2020-12-28,1.1189123780266776
2020-12-29,1.1185814208324105
2020-12-30,1.1198310468496702
2020-12-31,1.1201328411497897
2021-01-04,1.1225384966647487
2021-01-05,1.1233108046715383
2021-01-06,1.1206768873025281
2021-01-07,1.1197694114311878
2021-01-08,1.1201534632936474
2021-01-11,1.1183259782706645
2021-01-12,1.1185000033465629
2021-01-13,1.1143396218075545
2021-01-14,1.1112360317031513
2021-01-15,1.111193675270874
2021-01-18,1.1130753497576371
2021-01-19,1.1146053086595913
2021-01-20,1.1133620822731853
2021-01-21,1.1186067246406253
2021-01-22,1.118792007054953
2021-01-25,1.1186279287286136
2021-01-26,1.1194985141664604
2021-01-27,1.1201016377079296
2021-01-28,1.1132403867144725
2021-01-29,1.1128527550856362
2021-02-01,1.1162890641024097
2021-02-02,1.118576296944915
2021-02-03,1.1167726902676576
2021-02-04,1.1132646587852104
2021-02-05,1.1107883752379948
2021-02-08,1.1129880913717258
2021-02-09,1.1143515050970223
2021-02-10,1.1158402772828575
2021-02-18,1.1094769520499894
2021-02-19,1.1106663956105187
2021-02-22,1.10678980301898
2021-02-23,1.1055395781952495
2021-02-24,1.1041369260624647
2021-02-25,1.1026257131026798
2021-02-26,1.0993773754463456
2021-03-01,1.1010513689769228
2021-03-02,1.096328656369278
2021-03-03,1.0976346900929808
2021-03-04,1.092044504365256
2021-03-05,1.087718890785957
2021-03-08,1.0848996391847965
2021-03-09,1.0841481695739545
2021-03-10,1.088296817620954
2021-03-11,1.0903686560387624
2021-03-12,1.0889582275784508
2021-03-15,1.0887711292925866
2021-03-16,1.0921944136161374
2021-03-17,1.0930497854314625
2021-03-18,1.0953926952168673
2021-03-19,1.093520525213713
2021-03-22,1.0933976593054113
2021-03-23,1.0939132141980588
2021-03-24,1.0906931756476919
2021-03-25,1.0897407492926872
2021-03-26,1.0930866703573507
2021-03-29,1.0934097156031704
2021-03-30,1.0912694898552961
2021-03-31,1.0894040665420242
2021-04-01,1.089721922551831
2021-04-02,1.089758212483551
2021-04-06,1.090282263493707
2021-04-07,1.0896121106938694
2021-04-08,1.091216222605933
2021-04-09,1.0895336909404105
2021-04-12,1.0871479761289813
2021-04-13,1.0859629584146981
2021-04-14,1.0865766705444777
2021-04-15,1.0866577829712292
2021-04-16,1.085735280374444
2021-04-19,1.0866687876253438
2021-04-20,1.086389511325444
2021-04-21,1.082163703888774
2021-04-22,1.0831348309545585
2021-04-23,1.0812660378075107
2021-04-26,1.082421006113667
2021-04-27,1.0849584517262587
2021-04-28,1.0855332428146538
2021-04-29,1.0880014727525091
2021-04-30,1.0848711744189459
2021-05-06,1.0847692770776816
2021-05-07,1.0850209652706768
2021-05-10,1.0864206533068175
2021-05-11,1.0819450207936505
2021-05-12,1.082853530883739
2021-05-13,1.082042970969315
2021-05-14,1.0831692529618777
2021-05-17,1.0843175837878143
2021-05-18,1.085224660448936
2021-05-19,1.0813967735842613
2021-05-20,1.080361016781818
2021-05-21,1.0800667226570295
2021-05-24,1.0808682005810875
2021-05-25,1.0860541854108932
2021-05-26,1.083287355120481
2021-05-27,1.0848443820062899
2021-05-28,1.0862990309455622
2021-05-31,1.0868364357093685
2021-06-01,1.0856435503130477
2021-06-02,1.0886242551182128
2021-06-03,1.0897811940518323
2021-06-04,1.0906658974224257
2021-06-07,1.0917880737048413
2021-06-08,1.091151718410215
2021-06-09,1.0925839634768624
2021-06-10,1.0925480547311155
2021-06-11,1.0925962445462616
2021-06-15,1.0954396306272454
2021-06-16,1.0928764779268547
2021-06-17,1.094024695611752
2021-06-18,1.0945263149811615
2021-06-21,1.0914874052080439
2021-06-22,1.0956034054825126
2021-06-23,1.0977131720844182
2021-06-24,1.0990122108312064
2021-06-25,1.1010100041056825
2021-06-28,1.1007809006068006
2021-06-29,1.0983723626353608
2021-06-30,1.0997527498793855
2021-07-01,1.0987841741621003
2021-07-02,1.0970694040668916
2021-07-05,1.097181705633
2021-07-06,1.096614664844001
2021-07-07,1.0958123707018532
2021-07-08,1.0927580970588804
2021-07-09,1.0921586848556426
2021-07-12,1.0939751595865415
2021-07-13,1.0919351536569246
2021-07-14,1.0900647850876393
2021-07-15,1.0904646592371738
2021-07-16,1.088152801835542
2021-07-19,1.0877829776628432
2021-07-20,1.0851683126695988
2021-07-21,1.0860553990007318
2021-07-22,1.0891853015840725
2021-07-23,1.0871387320754173
2021-07-26,1.0835371834108618
2021-07-27,1.0819597379879817
2021-07-28,1.0803071216423068
2021-07-29,1.0826102663535981
2021-07-30,1.078497088016489
2021-08-02,1.080375043993158
2021-08-03,1.0796964049201256
2021-08-04,1.0815327654572695
2021-08-05,1.080325140488341
2021-08-06,1.0824594665814882
2021-08-09,1.0875076203173668
2021-08-10,1.0905264703110684
2021-08-11,1.0909805612254138
2021-08-12,1.0884213852125841
2021-08-13,1.0863914636598444
2021-08-16,1.084791932459509
2021-08-17,1.0815871442081566
2021-08-18,1.0824645198149683
2021-08-19,1.0784479037131625
2021-08-20,1.0773768809128996
2021-08-23,1.0804896515688136
2021-08-24,1.082592129607549
2021-08-25,1.0840102161823089
2021-08-26,1.0839161889075224
2021-08-27,1.0831475785946685
2021-08-30,1.0849611846958573
2021-08-31,1.0870982623667056
2021-09-01,1.0884976014842709
2021-09-02,1.0877461186874453
2021-09-03,1.088899041090918
2021-09-06,1.088282400187547
2021-09-07,1.0894193369184046
2021-09-08,1.0903602597467266
2021-09-09,1.0897318105066391
2021-09-10,1.090114633840713
2021-09-13,1.0895165307922203
2021-09-14,1.0885136191907714
2021-09-15,1.0866739007658377
2021-09-16,1.0876291294990017
2021-09-17,1.0904397821608907
2021-09-22,1.0856874331888895
2021-09-23,1.089573040786987
2021-09-24,1.0913909559347583
2021-09-27,1.0933144360598837
2021-09-28,1.0942960652922524
2021-09-29,1.0941298503800598
2021-09-30,1.095398125747135
2021-10-08,1.0929148770013115
2021-10-11,1.0922530922270077
2021-10-12,1.0882969605218855
2021-10-13,1.0891901464165834
2021-10-14,1.0888717720954608
2021-10-15,1.0910311504124592
2021-10-18,1.0887566125811012
2021-10-19,1.0902533526703908
2021-10-20,1.0904770477260712
2021-10-21,1.0917257781482694
2021-10-22,1.0907038437135095
2021-10-25,1.0927789835942259
2021-10-26,1.0921564912402375
2021-10-27,1.0912776858892241
2021-10-28,1.0884930705439222
2021-10-29,1.090911926891559
2021-11-01,1.093176525708442
2021-11-02,1.0933258051853205
2021-11-03,1.0942993149948372
2021-11-04,1.0962072085887458
2021-11-05,1.0962869670963462
2021-11-08,1.096609784706989
2021-11-09,1.095975618728298
2021-11-10,1.0956489280217927
2021-11-11,1.0935239343453078
2021-11-12,1.0927560848143194
2021-11-15,1.094283561584003
2021-11-16,1.0939761990321208
2021-11-17,1.0945515076822183
2021-11-18,1.0928981439755496
2021-11-19,1.0952714852276233
2021-11-22,1.095377778605582
2021-11-23,1.0957353260464264
2021-11-24,1.0981943495451922
2021-11-25,1.0992552827537516
2021-11-26,1.0980234465357621
2021-11-29,1.0968067683795641
2021-11-30,1.0962714471105537
2021-12-01,1.096642146492322
2021-12-02,1.0941200379621456
2021-12-03,1.0946364460726052
2021-12-06,1.0940381463323108
2021-12-07,1.0960208456228282
2021-12-08,1.1007802039177592
2021-12-09,1.102551568802962
2021-12-10,1.1019706525647233
2021-12-13,1.1030549573995434
2021-12-14,1.1011805796854335
2021-12-15,1.1003839099790367
2021-12-16,1.1017110283308762
2021-12-17,1.097800754581487
2021-12-20,1.0972291874223985
2021-12-21,1.098330506431657
2021-12-22,1.0998447137753258
2021-12-23,1.099128755535257
2021-12-24,1.0994309771706157
2021-12-27,1.100333996653826
2021-12-28,1.1019598040627365
2021-12-29,1.1036884962461084
2021-12-30,1.1053142831252996
2021-12-31,1.1039584553818704
2022-01-04,1.106228858696932
2022-01-05,1.1058482456372267
