,turnover
2021-02-18,0.019168709051654964
2021-02-19,0.12236900197568928
2021-02-22,0.00040086252430054925
2021-02-23,1.567302305487008
2021-02-24,0.005497401827453577
2021-02-25,1.5698345242403733
2021-02-26,0.021652172029849148
2021-03-01,0.060313091689897125
2021-03-02,0.024105060025505276
2021-03-03,0.020023040725878516
2021-03-04,0.014669606027507942
2021-03-05,0.042926041426108064
2021-03-08,0.0039038607479585097
2021-03-09,0.029546937732386924
2021-03-10,0.007671544930400592
2021-03-11,0.022178726210215244
2021-03-12,0.020226648101456635
2021-03-15,0.020748214322362346
2021-03-16,0.01283004546939448
2021-03-17,0.01545534715796798
2021-03-18,0.003270431757433967
2021-03-19,0.007487799069389789
2021-03-22,0.04761257424106502
2021-03-23,0.004243251118866087
2021-03-24,0.24941132440140493
2021-03-25,0.012767398869124716
2021-03-26,0.008746437520996464
2021-03-29,0.020339700211303366
2021-03-30,0.0004750516880283745
2021-03-31,0.026942295191945742
2021-04-01,0.8449370863632482
2021-04-02,0.030750155163490667
2021-04-06,0.01559483060036812
2021-04-07,0.016830917024975356
2021-04-08,0.0022398223190623345
2021-04-09,0.004002305028384279
2021-04-12,0.011285776690818289
2021-04-13,0.01440928945347092
2021-04-14,0.002393549429612535
2021-04-15,0.005884420271148688
2021-04-16,0.017665983700874605
2021-04-19,0.002474483457338278
2021-04-20,0.05465814944728836
2021-04-21,0.03081363793103087
2021-04-22,0.01863180713685847
2021-04-23,0.005955288270336728
2021-04-26,0.013015154250866717
2021-04-27,0.009478527482989663
2021-04-28,0.7433639668906218
2021-04-29,0.004337543265478666
2021-04-30,0.016965961452411304
2021-05-06,0.0037575632469446646
2021-05-07,0.030668868080077516
2021-05-10,0.018078668242103316
2021-05-11,0.008063703066905625
2021-05-12,0.057204784550040064
2021-05-13,0.7660041411913425
2021-05-14,0.003397325102868415
2021-05-17,0.05790805127388729
2021-05-18,0.030887554883485963
2021-05-19,0.015657579449973646
2021-05-20,0.8221822953436337
2021-05-21,0.0011027872829031948
2021-05-24,0.027856294992472108
2021-05-25,0.844035911517107
2021-05-26,0.08369732067724622
2021-05-27,0.01328263545304928
2021-05-28,0.002706504684122646
2021-05-31,0.0048534894323502276
2021-06-01,0.0002113849844577742
2021-06-02,0.0015767083330368303
2021-06-03,0.016115851545193627
2021-06-04,0.008788957007042297
2021-06-07,0.004995190666583271
2021-06-08,0.025878468282908934
2021-06-09,0.009640664783486852
2021-06-10,0.00625422469306422
2021-06-11,0.005432027060994937
2021-06-15,0.006106199602168211
2021-06-16,0.014976634349236656
2021-06-17,0.01748063655770596
2021-06-18,0.0163234243453175
2021-06-21,0.06022881455307039
2021-06-22,0.6383902752441699
2021-06-23,0.6383902752441699
2021-06-24,0.017737345365736068
2021-06-25,0.0006068091488300176
2021-06-28,0.6785503934519566
2021-06-29,0.6785503934519566
2021-06-30,0.027707806722576778
2021-07-01,0.0033501743326812272
2021-07-02,0.003983089164533715
2021-07-05,0.1120732183511445
2021-07-06,0.012056965812055398
2021-07-07,0.0012036770651786544
2021-07-08,0.025748840070839524
2021-07-09,0.019269201852768786
2021-07-12,0.00246923711001637
2021-07-13,0.02558075036154625
2021-07-14,0.0008300759368069788
2021-07-15,0.014653990743726808
2021-07-16,0.03612974046506082
2021-07-19,0.02710347260761478
2021-07-20,0.013008299870182982
2021-07-21,0.002910542787772391
2021-07-22,0.0040697880507245265
2021-07-23,0.024797077755190577
2021-07-26,0.016091834811901823
2021-07-27,0.06773194351741857
2021-07-28,0.07050750777916148
2021-07-29,0.03247590263086503
2021-07-30,0.02932027797809106
2021-08-02,0.06889438782442289
2021-08-03,0.028442966659971508
2021-08-04,0.004179119095373218
2021-08-05,0.002517319797821549
2021-08-06,0.012869623002261216
2021-08-09,0.014132081897454768
2021-08-10,0.005508720292124819
2021-08-11,0.00774995363260178
2021-08-12,0.005430244786992416
2021-08-13,0.0023176490196729627
2021-08-16,0.0008140881705113456
2021-08-17,1.5090909707537414
2021-08-18,0.009011416803370267
2021-08-19,0.009407935972680477
2021-08-20,0.03746434876580197
2021-08-23,0.012667401011578976
2021-08-24,0.018096429095996763
2021-08-25,0.013531931212051408
2021-08-26,0.13489054791112431
2021-08-27,0.1642461315633598
2021-08-30,0.00029263908897165375
2021-08-31,0.007226424491704395
2021-09-01,0.007781524173790175
2021-09-02,0.009214208585703085
2021-09-03,0.0019404202973054216
2021-09-06,0.008078789285027893
2021-09-07,0.006185045767314108
2021-09-08,0.005192446848303264
2021-09-09,0.0006375222440158854
2021-09-10,0.00609222368372804
2021-09-13,0.005594997219953449
2021-09-14,0.003112310461863166
2021-09-15,0.008290319432505681
2021-09-16,0.005356905289132088
2021-09-17,0.012794874414769931
2021-09-22,0.004864096008604234
2021-09-23,0.05103173542975394
2021-09-24,0.010769007793507583
2021-09-27,0.0034453455104479294
2021-09-28,0.0063001211283797015
2021-09-29,0.02344851442808532
2021-09-30,0.14400382884776253
2021-10-08,0.000780983269147266
2021-10-11,0.17016805112705058
2021-10-12,0.011308964493910105
2021-10-13,0.010116241518432899
2021-10-14,0.006850651777631486
2021-10-15,0.013905946370855703
2021-10-18,0.011569354834280343
2021-10-19,0.06626066569007234
2021-10-20,0.0119379544658971
2021-10-21,0.18697167580018764
2021-10-22,0.19678690735234033
2021-10-25,0.19678690735234017
2021-10-26,0.0013612736384963492
2021-10-27,0.19172268226101852
2021-10-28,0.014390992162647068
2021-10-29,0.00950477546439206
2021-11-01,0.004145120607971023
2021-11-02,0.015360379630935998
2021-11-03,0.0069339757356071535
2021-11-04,0.0035451026323533377
2021-11-05,0.014158378028310936
2021-11-08,0.0057805267664108526
2021-11-09,0.0033543108438172514
2021-11-10,0.012218930155177797
2021-11-11,0.009093012362409968
2021-11-12,0.03155694547686487
2021-11-15,0.017445369951140197
2021-11-16,0.0064146736741030955
2021-11-17,0.004161807375102848
2021-11-18,0.0036254923894980806
2021-11-19,0.009927435069767378
2021-11-22,0.012984714372544025
2021-11-23,0.009431149926653646
2021-11-24,0.02095988926459518
2021-11-25,0.0047274445203175745
2021-11-26,0.0012444188194537069
2021-11-29,0.028907780914174085
2021-11-30,0.029852835184582375
2021-12-01,0.0038250573149940514
2021-12-02,0.004493989394776736
2021-12-03,0.02786820804812514
2021-12-06,0.016033194016910994
2021-12-07,0.035511197631313135
2021-12-08,0.008627845897726118
2021-12-09,0.04598100880913002
2021-12-10,0.022686039318727286
2021-12-13,0.0024984162965344323
2021-12-14,0.006241481692879268
2021-12-15,0.00774585729504363
2021-12-16,0.01221724104570799
2021-12-17,0.014809185788150034
2021-12-20,0.19614013988894902
2021-12-21,0.005175535487409753
2021-12-22,0.0018956190789414656
2021-12-23,0.001540827556746907
2021-12-24,0.0032012028537733925
2021-12-27,0.00020673969442341206
2021-12-28,0.0034362290765099293
2021-12-29,0.009935287764531384
2021-12-30,0.0001189386392782682
2021-12-31,0.037785886586483505
2022-01-04,0.0008178611376245606
2022-01-05,0.003705805749300399
2022-01-06,0.00338834848014595
2022-01-07,0.014159531193915026
2022-01-10,0.1901400513209222
2022-01-11,0.006887781659966962
2022-01-12,0.006614554655659501
2022-01-13,0.019762631149653993
2022-01-14,0.18347189964615743
2022-01-17,0.017324689273744726
2022-01-18,0.0027346271808494846
2022-01-19,0.034437438618541386
2022-01-20,0.0071575322540567005
2022-01-21,0.0005221397966057376
2022-01-24,0.0020761029394840633
2022-01-25,0.036561298048076604
2022-01-26,0.21294089446657188
2022-01-27,0.2129408944665719
2022-01-28,0.00785746599265108
2022-02-07,0.009951517358806117
2022-02-08,0.04431719293866989
2022-02-09,0.001091959728650116
2022-02-10,0.010415883117650453
2022-02-11,0.003404332147921442
2022-02-14,0.0435348570838199
2022-02-15,0.014748099273942564
2022-02-16,0.004790837593642558
2022-02-17,0.005956651032338889
2022-02-18,0.00046637312022676514
2022-02-21,0.0005693366703971373
2022-02-22,0.01341627869304094
2022-02-23,0.022852392842585556
2022-02-24,0.0067582274981667426
2022-02-25,0.027380461452179705
2022-02-28,0.015180135844309252
2022-03-01,0.0008559136754545463
2022-03-02,0.0038607344964829357
2022-03-03,0.010486316959279693
2022-03-04,0.0020557031897243117
2022-03-07,0.010166928312167055
2022-03-08,0.009193910723866335
2022-03-09,0.003645228346225514
2022-03-10,0.011541383237772887
2022-03-11,0.012121135693281236
2022-03-14,0.006980565038506623
2022-03-15,0.01558741717930829
2022-03-16,0.018962970249648936
2022-03-17,0.017656436643972047
2022-03-18,0.00671503492985373
2022-03-21,0.0030645517128395153
2022-03-22,0.0028657063248871684
2022-03-23,0.0026649362833737478
2022-03-24,0.1269057584752662
2022-03-25,0.0005266697035489834
2022-03-28,0.21284692254450746
2022-03-29,0.005689125166198884
2022-03-30,0.001073834896024646
2022-03-31,0.20756572793943207
2022-04-01,0.2096415293824151
2022-04-06,0.005238341431563806
2022-04-07,0.0012398664067236193
2022-04-08,0.003992933665878835
2022-04-11,0.00597059396950448
2022-04-12,0.018441351779538484
2022-04-13,0.0013215745616923097
2022-04-14,0.10762401047815429
2022-04-15,0.1076240104781542
2022-04-18,0.005794305158310309
2022-04-19,0.007406491015010133
2022-04-20,0.1049581531407687
2022-04-21,0.016976447602303914
2022-04-22,0.007813471083335112
2022-04-25,0.015098947904715547
2022-04-26,0.019015517469982535
2022-04-27,0.008890077724811735
2022-04-28,0.003782965246105656
2022-04-29,0.002048374098235717
2022-05-05,0.008629737156139253
2022-05-06,0.00562063285267304
2022-05-09,0.007932387845352162
2022-05-10,0.0017325718153052248
2022-05-11,0.02411975548748287
2022-05-12,0.0037806186973611718
2022-05-13,0.012582284079213055
2022-05-16,0.008471850137244826
2022-05-17,0.007677800473428233
2022-05-18,0.0031225241295713933
2022-05-19,0.006478284851210412
2022-05-20,0.007348445393066016
2022-05-23,0.08161187135998582
2022-05-24,0.0003275451384471967
2022-05-25,0.0001845659577972454
2022-05-26,0.07844598552624972
2022-05-27,0.07844598552624961
2022-05-30,0.027752548720911797
2022-05-31,0.001386752026941003
2022-06-01,0.00730840015955965
2022-06-02,0.008904909571562536
2022-06-06,0.0065001334984586545
2022-06-07,0.0014839272380237079
2022-06-08,0.0019091807082476167
2022-06-09,0.004885142965213349
2022-06-10,0.0014559430130021978
2022-06-13,0.001523676733637562
2022-06-14,0.03698398116248859
2022-06-15,0.029478806750325805
2022-06-16,0.0022187121137097164
2022-06-17,0.0017834451430444008
2022-06-20,0.00500296360349509
2022-06-21,0.006735834274743776
2022-06-22,0.0022573571097132365
2022-06-23,0.005123918437362242
2022-06-24,0.00025020170892646465
2022-06-27,0.006712631297403696
2022-06-28,0.020087267199960953
2022-06-29,0.004997677105738941
2022-06-30,0.00663389149570251
